steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
1440012	734	159491.12307858467	49.0	60.0	22.60530911091463	64.0	23.0	2.6790357	0.05448413472622633	1440012	358751	300000
1455570	742	161545.33209085464	45.0	50.0	16.09347693943108	58.0	27.0	2.5596378	0.05146325265988708	1455570	362640	300000
1471176	750	163442.0317337513	55.333333333333336	57.0	10.598742063723098	65.0	44.0	2.6651275	0.05563183600082994	1471176	366542	300000
1485106	757	165169.6373500824	58.0	64.0	10.392304845413264	64.0	46.0	2.7225025	0.058312636818736795	1485106	370024	300000
1500774	765	167077.80846214294	53.333333333333336	53.0	10.503967504392486	64.0	43.0	2.719141	0.055836144126951696	1500774	373941	300000
1516455	773	169038.28325128555	43.333333333333336	41.0	10.692676621563626	55.0	34.0	2.601233	0.05845934305340052	1516455	377861	300000
1531891	781	170941.29295492172	53.666666666666664	50.0	9.073771725877465	64.0	47.0	2.7089908	0.05796550741419196	1531891	381720	300000
1545410	788	172653.4795100689	48.666666666666664	45.0	13.868429375143146	64.0	37.0	2.7371042	0.059602746926248076	1545410	385100	300000
1561651	797	174605.93315291405	51.666666666666664	56.0	9.291573243177568	58.0	41.0	2.8070204	0.05763254644349217	1561651	389160	300000
1576496	805	176474.08813858032	45.333333333333336	44.0	5.131601439446884	51.0	41.0	2.7872086	0.057566286996006966	1576496	392872	300000
1590883	813	178298.66014266014	48.0	52.0	18.33030277982336	64.0	28.0	2.7590563	0.049834694061428306	1590883	396468	300000
1606758	821	180215.15832686424	51.0	61.0	19.974984355438178	64.0	28.0	2.7374911	0.054044904038310054	1606758	400437	300000
1620735	828	181969.93609833717	44.666666666666664	52.0	16.289055630494154	56.0	26.0	2.8186269	0.05335331223905086	1620735	403931	300000
1635668	837	183704.79423880577	33.666666666666664	47.0	26.633312473917574	51.0	3.0	2.8905816	0.05465219780802727	1635668	407665	300000
1650559	845	185494.57648968697	53.0	55.0	12.12435565298214	64.0	40.0	2.8413649	0.05521684218198061	1650559	411387	300000
1665069	853	187320.06937503815	55.666666666666664	60.0	9.291573243177568	62.0	45.0	2.8894224	0.057202836163342	1665069	415015	300000
1680533	861	189233.92688894272	44.666666666666664	43.0	4.725815626252608	50.0	41.0	2.9279375	0.05458678506314754	1680533	418881	300000
